comment;cleaned;normalisasi;filtered;steming_data;sentiment
Itu techno camon 40 abis unboxing dijual gak bg?;itu techno camon  abis unboxing dijual gak bg;['itu', 'techno', 'camon', 'habis', 'unboxing', 'dijual', 'tidak', 'bang'];['techno', 'camon', 'habis', 'unboxing', 'dijual', 'bang'];['techno', 'camon', 'habis', 'unboxing', 'jual', 'bang'];netral
Bismillah smg bs beli hp baru,sdh servs 3x slm 5th.;bismillah smg bs beli hp barusdh servs x slm th;['bismillah', 'semoga', 'bisa', 'beli', 'hp', 'barusdh', 'servs', 'kali', 'salam', 'tahu'];['bismillah', 'semoga', 'beli', 'hp', 'barusdh', 'servs', 'kali', 'salam'];['bismillah', 'moga', 'beli', 'hp', 'barusdh', 'servs', 'kali', 'salam'];netral
bingung mending Infinix hot 50 atau pova 6 pro ?;bingung mending infinix hot  atau pova  pro;['bingung', 'mending', 'infinix', 'hot', 'atau', 'pova', 'pro'];['bingung', 'mending', 'infinix', 'hot', 'pova', 'pro'];['bingung', 'mending', 'infinix', 'hot', 'pova', 'pro'];negatif
tecno camon 40pro samaa infinx 50note pro mana lebih bagus  bg;tecno camon pro samaa infinx note pro mana lebih bagus  bg;['tecno', 'camon', 'pro', 'sama', 'infinx', 'note', 'pro', 'mana', 'lebih', 'bagus', 'bang'];['tecno', 'camon', 'pro', 'infinx', 'note', 'pro', 'bagus', 'bang'];['tecno', 'camon', 'pro', 'infinx', 'note', 'pro', 'bagus', 'bang'];netral
mau tanya bang, samsung series s, seperti samsung s23 5g masih worth it ga sih bng,;mau tanya bang samsung series s seperti samsung s g masih worth it ga sih bng;['mau', 'tanya', 'abang', 'samsung', 'series', 'si', 'seperti', 'samsung', 'si', 'tidak', 'masih', 'worth', 'itu', 'tidak', 'sih', 'bang'];['abang', 'samsung', 'series', 'si', 'samsung', 'si', 'worth', 'sih', 'bang'];['abang', 'samsung', 'series', 'si', 'samsung', 'si', 'worth', 'sih', 'bang'];netral
karena video ini saya jadi yakin ambil Redmi 14C;karena video ini saya jadi yakin ambil redmi c;['karena', 'video', 'ini', 'saya', 'jadi', 'yakin', 'ambil', 'redmi', 'sih'];['video', 'ambil', 'redmi', 'sih'];['video', 'ambil', 'redmi', 'sih'];netral
Nonton pake samsung a20s dari keluaran baru sampe sekarang. Udah ganti lcd, mo ganti batre;nonton pake samsung as dari keluaran baru sampe sekarang udah ganti lcd mo ganti batre;['menonton', 'pakai', 'samsung', 'as', 'dari', 'keluaran', 'baru', 'sampai', 'sekarang', 'sudah', 'ganti', 'lcd', 'mau', 'ganti', 'batre'];['menonton', 'pakai', 'samsung', 'as', 'keluaran', 'ganti', 'lcd', 'ganti', 'batre'];['tonton', 'pakai', 'samsung', 'as', 'keluar', 'ganti', 'lcd', 'ganti', 'batre'];netral
Mikail Sintia Dewi❤❤❤❤;mikail sintia dewi;['mikail', 'sintia', 'dewi'];['mikail', 'sintia', 'dewi'];['mikail', 'sintia', 'dewi'];netral
"bg lg nyari hp yg kameranya oke buat video"" budget 2-3jtaan";bg lg nyari hp yg kameranya oke buat video budget jtaan;['bang', 'lagi', 'mencari', 'hp', 'yang', 'kameranya', 'oke', 'buat', 'video', 'budget', 'jtaan'];['bang', 'mencari', 'hp', 'kameranya', 'oke', 'video', 'budget', 'jtaan'];['bang', 'cari', 'hp', 'kamera', 'oke', 'video', 'budget', 'jtaan'];netral
Mnta sarannya bang, sebelum lht video ini saya niat beli inffinix note 50 pro, tp skrg jadi suka poco x7 pro, saran abg yg mana?;mnta sarannya bang sebelum lht video ini saya niat beli inffinix note  pro tp skrg jadi suka poco x pro saran abg yg mana;['minta', 'sarannya', 'abang', 'sebelum', 'lihat', 'video', 'ini', 'saya', 'niat', 'beli', 'inffinix', 'note', 'pro', 'tapi', 'sekarang', 'jadi', 'suka', 'poco', 'kali', 'pro', 'saran', 'abang', 'yang', 'mana'];['sarannya', 'abang', 'lihat', 'video', 'niat', 'beli', 'inffinix', 'note', 'pro', 'suka', 'poco', 'kali', 'pro', 'saran', 'abang'];['saran', 'abang', 'lihat', 'video', 'niat', 'beli', 'inffinix', 'note', 'pro', 'suka', 'poco', 'kali', 'pro', 'saran', 'abang'];netral
Kategori menengah tetep ter debes poco f6❤❤❤❤;kategori menengah tetep ter debes poco f;['kategori', 'menengah', 'tetap', 'ter', 'debes', 'poco', 'f'];['kategori', 'menengah', 'ter', 'debes', 'poco', 'f'];['kategori', 'tengah', 'ter', 'debes', 'poco', 'f'];netral
bisa bisanya iklan dulu :> :D;bisa bisanya iklan dulu  d;['bisa', 'bisanya', 'iklan', 'dulu', 'di'];['bisanya', 'iklan'];['bisa', 'iklan'];netral
"4:30 enaknya kalau buat gaming pake hp apa? Tecno spark 30 pro? Infinix note 50? Infinix note 40?

Kalau bisa yang cpu kenceng sih, gak terlalu perlu gpu kuat
Karna saya suka main game yang cpu bound kayak minecraft";"enaknya kalau buat gaming pake hp apa tecno spark  pro infinix note  infinix note 

kalau bisa yang cpu kenceng sih gak terlalu perlu gpu kuat
karna saya suka main game yang cpu bound kayak minecraft";['enaknya', 'kalau', 'buat', 'gaming', 'pakai', 'hp', 'apa', 'tecno', 'spark', 'pro', 'infinix', 'note', 'infinix', 'note', 'kalau', 'bisa', 'yang', 'cpu', 'kencang', 'sih', 'tidak', 'terlalu', 'perlu', 'gpu', 'kuat', 'karena', 'saya', 'suka', 'main', 'game', 'yang', 'cpu', 'bound', 'kayak', 'minecraft'];['enaknya', 'gaming', 'pakai', 'hp', 'tecno', 'spark', 'pro', 'infinix', 'note', 'infinix', 'note', 'cpu', 'kencang', 'sih', 'gpu', 'kuat', 'suka', 'main', 'game', 'cpu', 'bound', 'kayak', 'minecraft'];['enak', 'gaming', 'pakai', 'hp', 'tecno', 'spark', 'pro', 'infinix', 'note', 'infinix', 'note', 'cpu', 'kencang', 'sih', 'gpu', 'kuat', 'suka', 'main', 'game', 'cpu', 'bound', 'kayak', 'minecraft'];positif
Tadi aq sempet liat di toko oren infinix note 50 pro itu uda 2,8 jt;tadi aq sempet liat di toko oren infinix note  pro itu uda  jt;['tadi', 'aku', 'sempat', 'lihat', 'di', 'toko', 'oren', 'infinix', 'note', 'pro', 'itu', 'sudah', 'juta'];['lihat', 'toko', 'oren', 'infinix', 'note', 'pro', 'juta'];['lihat', 'toko', 'oren', 'infinix', 'note', 'pro', 'juta'];netral
gw beli infinix note 40, pindah dari redmi note 8 pro. itu rasanya gak enak, ini software banyak bug gak enak juga feel ui nya, walaupun punya keunggulan dri xiaomi karna gak ada iklan😂.;gw beli infinix note  pindah dari redmi note  pro itu rasanya gak enak ini software banyak bug gak enak juga feel ui nya walaupun punya keunggulan dri xiaomi karna gak ada iklan;['gue', 'beli', 'infinix', 'note', 'pindah', 'dari', 'redmi', 'note', 'pro', 'itu', 'rasanya', 'tidak', 'enak', 'ini', 'software', 'banyak', 'bug', 'tidak', 'enak', 'juga', 'feel', 'ui', 'ya', 'walaupun', 'punya', 'keunggulan', 'dari', 'xiaomi', 'karena', 'tidak', 'ada', 'iklan'];['gue', 'beli', 'infinix', 'note', 'pindah', 'redmi', 'note', 'pro', 'enak', 'software', 'bug', 'enak', 'feel', 'ui', 'ya', 'keunggulan', 'xiaomi', 'iklan'];['gue', 'beli', 'infinix', 'note', 'pindah', 'redmi', 'note', 'pro', 'enak', 'software', 'bug', 'enak', 'feel', 'ui', 'ya', 'unggul', 'xiaomi', 'iklan'];netral
Berhubung hape udh ancur parah. Akhirnya mampir ke channel rekomendasi bang David 😅;berhubung hape udh ancur parah akhirnya mampir ke channel rekomendasi bang david;['berhubung', 'hape', 'sudah', 'hancur', 'parah', 'akhirnya', 'mampir', 'ke', 'channel', 'rekomendasi', 'abang', 'david'];['berhubung', 'hape', 'hancur', 'parah', 'mampir', 'channel', 'rekomendasi', 'abang', 'david'];['hubung', 'hape', 'hancur', 'parah', 'mampir', 'channel', 'rekomendasi', 'abang', 'david'];netral
REAL CAMON 40 RAJA 2 JTAN👿;real camon  raja  jtan;['real', 'camon', 'raja', 'jtan'];['real', 'camon', 'raja', 'jtan'];['real', 'camon', 'raja', 'jtan'];positif
Mau nanya mending tecno camon 40 atau infinix note 40 pro?;mau nanya mending tecno camon  atau infinix note  pro;['mau', 'bertanya', 'mending', 'tecno', 'camon', 'atau', 'infinix', 'note', 'pro'];['mending', 'tecno', 'camon', 'infinix', 'note', 'pro'];['mending', 'tecno', 'camon', 'infinix', 'note', 'pro'];positif
Mid range sedang perang;mid range sedang perang;['mid', 'range', 'sedang', 'perang'];['mid', 'range', 'perang'];['mid', 'range', 'perang'];netral
Lah iqoo 13 mana bang yang 10 juta sampai 15 juta;lah iqoo  mana bang yang  juta sampai  juta;['lah', 'iqoo', 'mana', 'abang', 'yang', 'juta', 'sampai', 'juta'];['iqoo', 'abang', 'juta', 'juta'];['iqoo', 'abang', 'juta', 'juta'];netral
Samsung mana nih;samsung mana nih;['samsung', 'mana', 'nih'];['samsung', 'nih'];['samsung', 'nih'];netral
bang gua udah beli infinix note 50 pro asli bagus banget;bang gua udah beli infinix note  pro asli bagus banget;['abang', 'gua', 'sudah', 'beli', 'infinix', 'note', 'pro', 'asli', 'bagus', 'banget'];['abang', 'gua', 'beli', 'infinix', 'note', 'pro', 'asli', 'bagus', 'banget'];['abang', 'gua', 'beli', 'infinix', 'note', 'pro', 'asli', 'bagus', 'banget'];netral
iPhone 16 base model ga masuk nominasi yak ..;iphone  base model ga masuk nominasi yak;['iphone', 'base', 'model', 'tidak', 'masuk', 'nominasi', 'ya'];['iphone', 'base', 'model', 'masuk', 'nominasi', 'ya'];['iphone', 'base', 'model', 'masuk', 'nominasi', 'ya'];netral
Wah gak ada z fold 6 nih untuk 15 jt keatas😮;wah gak ada z fold  nih untuk  jt keatas;['wah', 'tidak', 'ada', 'saja', 'fold', 'nih', 'untuk', 'juta', 'keatas'];['fold', 'nih', 'juta', 'keatas'];['fold', 'nih', 'juta', 'atas'];netral
Muantebbbb ..irit waktu buat yg lagi cari Hp mode expresss ... 6:13  saya suka ,saya suka, saya suka gaya nya bang 😅;muantebbbb irit waktu buat yg lagi cari hp mode expresss    saya suka saya suka saya suka gaya nya bang;['muantebbbb', 'irit', 'waktu', 'buat', 'yang', 'lagi', 'cari', 'hp', 'mode', 'expresss', 'saya', 'suka', 'saya', 'suka', 'saya', 'suka', 'gaya', 'ya', 'abang'];['muantebbbb', 'irit', 'cari', 'hp', 'mode', 'expresss', 'suka', 'suka', 'suka', 'gaya', 'ya', 'abang'];['muantebbbb', 'irit', 'cari', 'hp', 'mode', 'expresss', 'suka', 'suka', 'suka', 'gaya', 'ya', 'abang'];positif
Kalau ada hp yang kombinasi antara techno camon 40 & realme c75 berapa ya harganya...;kalau ada hp yang kombinasi antara techno camon   realme c berapa ya harganya;['kalau', 'ada', 'hp', 'yang', 'kombinasi', 'antara', 'techno', 'camon', 'realme', 'sih', 'berapa', 'ya', 'harganya'];['hp', 'kombinasi', 'techno', 'camon', 'realme', 'sih', 'ya', 'harganya'];['hp', 'kombinasi', 'techno', 'camon', 'realme', 'sih', 'ya', 'harga'];netral
Buat versi buat game bng jd recomend buat game;buat versi buat game bng jd recomend buat game;['buat', 'versi', 'buat', 'game', 'bang', 'jadi', 'recomend', 'buat', 'game'];['versi', 'game', 'bang', 'recomend', 'game'];['versi', 'game', 'bang', 'recomend', 'game'];netral
"Bang apakah I-Phone bukan lagi hp bagus bang? Android jaman sekarang udah canggih2 gitu dan tentunya murah meriah
Nasib I-Phone gimana bang?";"bang apakah iphone bukan lagi hp bagus bang android jaman sekarang udah canggih gitu dan tentunya murah meriah
nasib iphone gimana bang";['abang', 'apakah', 'iphone', 'bukan', 'lagi', 'hp', 'bagus', 'abang', 'android', 'jaman', 'sekarang', 'sudah', 'canggih', 'begitu', 'dan', 'tentunya', 'murah', 'meriah', 'nasib', 'iphone', 'bagaimana', 'abang'];['abang', 'iphone', 'hp', 'bagus', 'abang', 'android', 'jaman', 'canggih', 'murah', 'meriah', 'nasib', 'iphone', 'abang'];['abang', 'iphone', 'hp', 'bagus', 'abang', 'android', 'jaman', 'canggih', 'murah', 'riah', 'nasib', 'iphone', 'abang'];positif
Buat game 2jt kebawah yang bagus apa bang;buat game jt kebawah yang bagus apa bang;['buat', 'game', 'juta', 'kebawah', 'yang', 'bagus', 'apa', 'abang'];['game', 'juta', 'kebawah', 'bagus', 'abang'];['game', 'juta', 'bawah', 'bagus', 'abang'];netral
7:41 mending mana infinix note 50 pro n note 50 S ?;mending mana infinix note  pro n note  s;['mending', 'mana', 'infinix', 'note', 'pro', 'n', 'note', 'si'];['mending', 'infinix', 'note', 'pro', 'n', 'note', 'si'];['mending', 'infinix', 'note', 'pro', 'n', 'note', 'si'];positif
Kak klo buat konten butuh video stabil dan camera plus batrei. Budget antara 3-5jt. Pilih yg mana kak;kak klo buat konten butuh video stabil dan camera plus batrei budget antara jt pilih yg mana kak;['kak', 'kalau', 'buat', 'konten', 'butuh', 'video', 'stabil', 'dan', 'camera', 'plus', 'batrei', 'budget', 'antara', 'juta', 'pilih', 'yang', 'mana', 'kak'];['kak', 'konten', 'butuh', 'video', 'stabil', 'camera', 'plus', 'batrei', 'budget', 'juta', 'pilih', 'kak'];['kak', 'konten', 'butuh', 'video', 'stabil', 'camera', 'plus', 'batrei', 'budget', 'juta', 'pilih', 'kak'];positif
Infinix yang lagi on top hp terworth it, tapi yang paling saya benci dari hp infinix busuk banget osnya, banyak bug error, tau tau reset sendiri, app isnt installed secara tiba tiba, Ngefreeze ui. Bikin kapoknya itu milih infinix;infinix yang lagi on top hp terworth it tapi yang paling saya benci dari hp infinix busuk banget osnya banyak bug error tau tau reset sendiri app isnt installed secara tiba tiba ngefreeze ui bikin kapoknya itu milih infinix;['infinix', 'yang', 'lagi', 'on', 'top', 'hp', 'terworth', 'itu', 'tapi', 'yang', 'paling', 'saya', 'benci', 'dari', 'hp', 'infinix', 'busuk', 'banget', 'osnya', 'banyak', 'bug', 'error', 'tau', 'tau', 'reset', 'sendiri', 'app', 'isnt', 'installed', 'secara', 'tiba', 'tiba', 'ngefreeze', 'ui', 'bikin', 'kapoknya', 'itu', 'memilih', 'infinix'];['infinix', 'on', 'top', 'hp', 'terworth', 'benci', 'hp', 'infinix', 'busuk', 'banget', 'osnya', 'bug', 'error', 'tau', 'tau', 'reset', 'app', 'isnt', 'installed', 'ngefreeze', 'ui', 'bikin', 'kapoknya', 'memilih', 'infinix'];['infinix', 'on', 'top', 'hp', 'terworth', 'benci', 'hp', 'infinix', 'busuk', 'banget', 'osnya', 'bug', 'error', 'tau', 'tau', 'reset', 'app', 'isnt', 'installed', 'ngefreeze', 'ui', 'bikin', 'kapok', 'pilih', 'infinix'];negatif
Bg hp ny yg ga pake lagi buat gw aj 😊😊;bg hp ny yg ga pake lagi buat gw aj;['bang', 'hp', 'nya', 'yang', 'tidak', 'pakai', 'lagi', 'buat', 'gue', 'saja'];['bang', 'hp', 'nya', 'pakai', 'gue'];['bang', 'hp', 'nya', 'pakai', 'gue'];netral
kerja bang kerja;kerja bang kerja;['kerja', 'abang', 'kerja'];['kerja', 'abang', 'kerja'];['kerja', 'abang', 'kerja'];netral
Kalau sekarang beli Hp mending pilih yang 4G apa 5G?;kalau sekarang beli hp mending pilih yang g apa g;['kalau', 'sekarang', 'beli', 'hp', 'mending', 'pilih', 'yang', 'tidak', 'apa', 'tidak'];['beli', 'hp', 'mending', 'pilih'];['beli', 'hp', 'mending', 'pilih'];positif
5g  (tapi 5g gak merata (internet cepat buat ap;g  tapi g gak merata internet cepat buat ap;['tidak', 'tapi', 'tidak', 'tidak', 'merata', 'internet', 'cepat', 'buat', 'apa'];['merata', 'internet', 'cepat'];['rata', 'internet', 'cepat'];positif
Bang lelang murah dong bang hp hp review nya...😊😊;bang lelang murah dong bang hp hp review nya;['abang', 'lelang', 'murah', 'dong', 'abang', 'hp', 'hp', 'review', 'ya'];['abang', 'lelang', 'murah', 'abang', 'hp', 'hp', 'review', 'ya'];['abang', 'lelang', 'murah', 'abang', 'hp', 'hp', 'review', 'ya'];positif
Tecno spark 30c?;tecno spark c;['tecno', 'spark', 'sih'];['tecno', 'spark', 'sih'];['tecno', 'spark', 'sih'];netral
enak bet co tecno camon 40 mksh bg🔥🔥;enak bet co tecno camon  mksh bg;['enak', 'banget', 'cowok', 'tecno', 'camon', 'terima kasih', 'bang'];['enak', 'banget', 'cowok', 'tecno', 'camon', 'terima kasih', 'bang'];['enak', 'banget', 'cowok', 'tecno', 'camon', 'terima kasih', 'bang'];netral
Smoga kebeli hpnya bulan ini,buat ibuk krna hpnya udah rusak minta doanya tmen tmen , skrng ekonomi memang lagi sulit banget😢;smoga kebeli hpnya bulan inibuat ibuk krna hpnya udah rusak minta doanya tmen tmen  skrng ekonomi memang lagi sulit banget;['semoga', 'kebeli', 'hpnya', 'bulan', 'inibuat', 'ibuk', 'karena', 'hpnya', 'sudah', 'rusak', 'meminta', 'doanya', 'teman', 'teman', 'sekarang', 'ekonomi', 'memang', 'lagi', 'sulit', 'banget'];['semoga', 'kebeli', 'hpnya', 'inibuat', 'ibuk', 'hpnya', 'rusak', 'doanya', 'teman', 'teman', 'ekonomi', 'sulit', 'banget'];['moga', 'kebel', 'hpnya', 'inibuat', 'ibuk', 'hpnya', 'rusak', 'doa', 'teman', 'teman', 'ekonomi', 'sulit', 'banget'];negatif
Bang giveaway hp dong buat Istri, soalnya istri masih pake redmi 8😂❤;bang giveaway hp dong buat istri soalnya istri masih pake redmi;['abang', 'giveaway', 'hp', 'dong', 'buat', 'istri', 'soalnya', 'istri', 'masih', 'pakai', 'redmi'];['abang', 'giveaway', 'hp', 'istri', 'istri', 'pakai', 'redmi'];['abang', 'giveaway', 'hp', 'istri', 'istri', 'pakai', 'redmi'];netral
bang infinix hot 50 pro lebih bagus atau nggak?;bang infinix hot  pro lebih bagus atau nggak;['abang', 'infinix', 'hot', 'pro', 'lebih', 'bagus', 'atau', 'tidak'];['abang', 'infinix', 'hot', 'pro', 'bagus'];['abang', 'infinix', 'hot', 'pro', 'bagus'];netral
Bagus bg;bagus bg;['bagus', 'bang'];['bagus', 'bang'];['bagus', 'bang'];netral
Bikin video rekomendasi kayak gini lagi BG David, berkat lu gw sekarang g kena genjtusu lagi🎉;bikin video rekomendasi kayak gini lagi bg david berkat lu gw sekarang g kena genjtusu lagi;['bikin', 'video', 'rekomendasi', 'kayak', 'begini', 'lagi', 'bang', 'david', 'berkat', 'kamu', 'gue', 'sekarang', 'tidak', 'kena', 'genjtusu', 'lagi'];['bikin', 'video', 'rekomendasi', 'kayak', 'bang', 'david', 'berkat', 'gue', 'kena', 'genjtusu'];['bikin', 'video', 'rekomendasi', 'kayak', 'bang', 'david', 'berkat', 'gue', 'kena', 'genjtusu'];netral
Bang tolong dong, review hp untuk konten kreator 🙏🏻🙏🏻🙏🏻 kurleb dg gaming tp utama kamera bang tp harga murce🙏🏻🙏🏻😁;bang tolong dong review hp untuk konten kreator  kurleb dg gaming tp utama kamera bang tp harga murce;['abang', 'tolong', 'dong', 'review', 'hp', 'untuk', 'konten', 'kreator', 'kurleb', 'dengan', 'gaming', 'tapi', 'utama', 'kamera', 'abang', 'tapi', 'harga', 'murce'];['abang', 'tolong', 'review', 'hp', 'konten', 'kreator', 'kurleb', 'gaming', 'utama', 'kamera', 'abang', 'harga', 'murce'];['abang', 'tolong', 'review', 'hp', 'konten', 'kreator', 'kurleb', 'gaming', 'utama', 'kamera', 'abang', 'harga', 'murce'];positif
Gw k sini gara2 hp s21fe kena greenline🙃;gw k sini gara hp sfe kena greenline;['gue', 'ke', 'sini', 'gara', 'hp', 'sfe', 'kena', 'greenline'];['gue', 'gara', 'hp', 'sfe', 'kena', 'greenline'];['gue', 'gara', 'hp', 'sfe', 'kena', 'greenline'];netral
Fitur Samsung;fitur samsung;['fitur', 'samsung'];['fitur', 'samsung'];['fitur', 'samsung'];netral
buat jangka panjang all rounder . Infinix note 50pro atau nubia neo gt 3 pro 5g?;buat jangka panjang all rounder  infinix note pro atau nubia neo gt  pro g;['buat', 'jangka', 'panjang', 'all', 'rounder', 'infinix', 'note', 'pro', 'atau', 'nubia', 'neo', 'begitu', 'pro', 'tidak'];['jangka', 'all', 'rounder', 'infinix', 'note', 'pro', 'nubia', 'neo', 'pro'];['jangka', 'all', 'rounder', 'infinix', 'note', 'pro', 'nubia', 'neo', 'pro'];netral
Bang minta saran hp yg bisa nyaingin atau sainggin infinix hot 50 pro apa ya 😢;bang minta saran hp yg bisa nyaingin atau sainggin infinix hot  pro apa ya;['abang', 'meminta', 'saran', 'hp', 'yang', 'bisa', 'nyaingin', 'atau', 'sainggin', 'infinix', 'hot', 'pro', 'apa', 'ya'];['abang', 'saran', 'hp', 'nyaingin', 'sainggin', 'infinix', 'hot', 'pro', 'ya'];['abang', 'saran', 'hp', 'nyaingin', 'sainggin', 'infinix', 'hot', 'pro', 'ya'];netral
Bg coba review hp advan x1;bg coba review hp advan x;['bang', 'coba', 'review', 'hp', 'advan', 'kali'];['bang', 'coba', 'review', 'hp', 'advan', 'kali'];['bang', 'coba', 'review', 'hp', 'advan', 'kali'];netral
"""Saya kediem sih"" 🙂";saya kediem sih;['saya', 'kediem', 'sih'];['kediem', 'sih'];['kediem', 'sih'];netral
