;Unnamed: 0;komentar;label;step01;tokens;final_tokens;step02;finalText_str;ProcessedText
10;10;<username> <username> posisinya arhan double juga tuh sama edo, apa spesialnya bgst arhan, STY emang nih;negatif;  posisinya arhan double juga tuh sama edo apa spesialnya bgst arhan sty emang nih;['posisinya', 'arhan', 'double', 'juga', 'tuh', 'sama', 'edo', 'apa', 'spesialnya', 'bgst', 'arhan', 'sty', 'emang', 'nih'];['posisinya', 'arhan', 'double', 'juga', 'tuh', 'sama', 'edo', 'apa', 'spesialnya', 'bgst', 'arhan', 'sty', 'emang', 'nih'];posisinya arhan double juga tuh sama edo apa spesialnya bgst arhan sty emang nih;posisinya arhan double juga tuh sama edo apa spesialnya bgst arhan sty emang nih;posisi arhan double tuh sama edo apa spesial bgst arhan sty emang nih
11;11;yaampun coach sty rek, dendy teross;negatif;yaampun coach sty rek dendy teross;['yaampun', 'coach', 'sty', 'rek', 'dendy', 'teross'];['yaampun', 'coach', 'sty', 'rek', 'dendy', 'teross'];yaampun coach sty rek dendy teross;yaampun coach sty rek dendy teross;yaampun coach sty rek dendy teross
12;12;<username> gw mh yakin habis piala asia STY dipecat;negatif; gw mh yakin habis piala asia sty dipecat;['gw', 'mh', 'yakin', 'habis', 'piala', 'asia', 'sty', 'dipecat'];['gw', 'mh', 'yakin', 'habis', 'piala', 'asia', 'sty', 'dipecat'];gw mh yakin habis piala asia sty dipecat;gw mh yakin habis piala asia sty dipecat;gw mh yakin habis piala asia sty pecat
13;13;Wew ga ngira Adam Alis yg dicoret sih...Di liga main ok, kemarin main ok, dan stok gelandang juga tipis banget...  Meanwhile striker rame beneerr...  Semoga STY ga salah pilihðŸ¤²;negatif;wew ga ngira adam alis yg dicoret sih di liga main ok kemarin main ok dan stok gelandang juga tipis banget meanwhile striker rame beneerr semoga sty ga salah pilih;['wew', 'ga', 'ngira', 'adam', 'alis', 'yg', 'dicoret', 'sih', 'di', 'liga', 'main', 'ok', 'kemarin', 'main', 'ok', 'dan', 'stok', 'gelandang', 'juga', 'tipis', 'banget', 'meanwhile', 'striker', 'rame', 'beneerr', 'semoga', 'sty', 'ga', 'salah', 'pilih'];['wew', 'ga', 'ngira', 'adam', 'alis', 'yg', 'dicoret', 'sih', 'di', 'liga', 'main', 'ok', 'kemarin', 'main', 'ok', 'dan', 'stok', 'gelandang', 'juga', 'tipis', 'banget', 'meanwhile', 'striker', 'rame', 'beneerr', 'semoga', 'sty', 'ga', 'salah', 'pilih'];wew ga ngira adam alis yg dicoret sih di liga main ok kemarin main ok dan stok gelandang juga tipis banget meanwhile striker rame beneerr semoga sty ga salah pilih;wew ga ngira adam alis yg dicoret sih di liga main ok kemarin main ok dan stok gelandang juga tipis banget meanwhile striker rame beneerr semoga sty ga salah pilih;wew ga ngira adam alis coret di liga main kemarin main dan stok gelandang tipis banget meanwhile striker rame beneerr moga sty ga salah pilih
14;14;<username> Tim sampah !!!!  Coachnya sampah, miskin taktik!!   Goblok!!!! Out aja sty out pelatih mentok !!!;negatif; tim sampah coachnya sampah miskin taktik goblok out aja sty out pelatih mentok;['tim', 'sampah', 'coachnya', 'sampah', 'miskin', 'taktik', 'goblok', 'out', 'aja', 'sty', 'out', 'pelatih', 'mentok'];['tim', 'sampah', 'coachnya', 'sampah', 'miskin', 'taktik', 'goblok', 'out', 'aja', 'sty', 'out', 'pelatih', 'mentok'];tim sampah coachnya sampah miskin taktik goblok out aja sty out pelatih mentok;tim sampah coachnya sampah miskin taktik goblok out aja sty out pelatih mentok;tim sampah coachnya sampah miskin taktik goblok out aja sty out latih mentok
15;15;<username> Kenapa bukan Dendy S dn Dimas D....sty takut x sama bosnya mrk yaðŸ˜ðŸ˜ðŸ˜;negatif; kenapa bukan dendy dn dimas sty takut sama bosnya mrk ya;['kenapa', 'bukan', 'dendy', 'dn', 'dimas', 'sty', 'takut', 'sama', 'bosnya', 'mrk', 'ya'];['kenapa', 'bukan', 'dendy', 'dn', 'dimas', 'sty', 'takut', 'sama', 'bosnya', 'mrk', 'ya'];kenapa bukan dendy dn dimas sty takut sama bosnya mrk ya;kenapa bukan dendy dn dimas sty takut sama bosnya mrk ya;bukan dendy dn mas sty takut sama bos mrk
16;16;<username> gue curiga ne anak biar dicoret masuk list senior ma STY jadi masih peluang masuk Timnas Belanda..eeeh malah dibawa juga di Piala Asia ma STY ðŸ˜;negatif; gue curiga ne anak biar dicoret masuk list senior ma sty jadi masih peluang masuk timnas belanda eeeh malah dibawa juga di piala asia ma sty;['gue', 'curiga', 'ne', 'anak', 'biar', 'dicoret', 'masuk', 'list', 'senior', 'ma', 'sty', 'jadi', 'masih', 'peluang', 'masuk', 'timnas', 'belanda', 'eeeh', 'malah', 'dibawa', 'juga', 'di', 'piala', 'asia', 'ma', 'sty'];['gue', 'curiga', 'ne', 'anak', 'biar', 'dicoret', 'masuk', 'list', 'senior', 'ma', 'sty', 'jadi', 'masih', 'peluang', 'masuk', 'timnas', 'belanda', 'eeeh', 'malah', 'dibawa', 'juga', 'di', 'piala', 'asia', 'ma', 'sty'];gue curiga ne anak biar dicoret masuk list senior ma sty jadi masih peluang masuk timnas belanda eeeh malah dibawa juga di piala asia ma sty;gue curiga ne anak biar dicoret masuk list senior ma sty jadi masih peluang masuk timnas belanda eeeh malah dibawa juga di piala asia ma sty;gue curiga ne anak biar coret masuk list senior ma sty jadi peluang masuk timnas belanda eeeh malah bawa di piala asia ma sty
17;17;<username> Dendi pasti nyimpen pap tt nya sty. Dimaninin terus tu bocah;negatif; dendi pasti nyimpen pap tt nya sty dimaninin terus tu bocah;['dendi', 'pasti', 'nyimpen', 'pap', 'tt', 'nya', 'sty', 'dimaninin', 'terus', 'tu', 'bocah'];['dendi', 'pasti', 'nyimpen', 'pap', 'tt', 'nya', 'sty', 'dimaninin', 'terus', 'tu', 'bocah'];dendi pasti nyimpen pap tt nya sty dimaninin terus tu bocah;dendi pasti nyimpen pap tt nya sty dimaninin terus tu bocah;dendi nyimpen pap tt sty dimaninin terus tu bocah
18;18;<username> dendy punya vidio sty lagi ngocokk makanya di panggil terus;negatif; dendy punya vidio sty lagi ngocokk makanya di panggil terus;['dendy', 'punya', 'vidio', 'sty', 'lagi', 'ngocokk', 'makanya', 'di', 'panggil', 'terus'];['dendy', 'punya', 'vidio', 'sty', 'lagi', 'ngocokk', 'makanya', 'di', 'panggil', 'terus'];dendy punya vidio sty lagi ngocokk makanya di panggil terus;dendy punya vidio sty lagi ngocokk makanya di panggil terus;dendy punya vidio sty ngocokk makanya panggil terus
19;19;<username> <username> Pokoknya percaya penuh soal STY kecuali perihal mempertahankan Dendy di skuadðŸ™„;negatif;  pokoknya percaya penuh soal sty kecuali perihal mempertahankan dendy di skuad;['pokoknya', 'percaya', 'penuh', 'soal', 'sty', 'kecuali', 'perihal', 'mempertahankan', 'dendy', 'di', 'skuad'];['pokoknya', 'percaya', 'penuh', 'soal', 'sty', 'kecuali', 'perihal', 'mempertahankan', 'dendy', 'di', 'skuad'];pokoknya percaya penuh soal sty kecuali perihal mempertahankan dendy di skuad;pokoknya percaya penuh soal sty kecuali perihal mempertahankan dendy di skuad;pokok percaya penuh soal sty perihal tahan dendy skuad
20;20;"<username> <username> <username> Balik ke statement saya kemarin, Dendy salah satu anak emas"" STY yang selalu dia percayakan namun tidak juga kunjung perform. Agak laen memang STY ini.""";negatif;   balik ke statement saya kemarin dendy salah satu anak emas sty yang selalu dia percayakan namun tidak juga kunjung perform agak laen memang sty ini;['balik', 'ke', 'statement', 'saya', 'kemarin', 'dendy', 'salah', 'satu', 'anak', 'emas', 'sty', 'yang', 'selalu', 'dia', 'percayakan', 'namun', 'tidak', 'juga', 'kunjung', 'perform', 'agak', 'laen', 'memang', 'sty', 'ini'];['balik', 'ke', 'statement', 'saya', 'kemarin', 'dendy', 'salah', 'satu', 'anak', 'emas', 'sty', 'yang', 'selalu', 'dia', 'percayakan', 'namun', 'tidak', 'juga', 'kunjung', 'perform', 'agak', 'laen', 'memang', 'sty', 'ini'];balik ke statement saya kemarin dendy salah satu anak emas sty yang selalu dia percayakan namun tidak juga kunjung perform agak laen memang sty ini;balik ke statement saya kemarin dendy salah satu anak emas sty yang selalu dia percayakan namun tidak juga kunjung perform agak laen memang sty ini;balik statement kemarin dendy salah satu anak emas sty selalu percaya tidak kunjung perform laen memang sty
21;21;<username> Lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk;negatif; lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk;['lo', 'nanya', 'dendy', 'ke', 'sty', 'nanti', 'yang', 'maju', 'jawab', 'pak', 'manajer', 'timnas', 'un', 'wkwk'];['lo', 'nanya', 'dendy', 'ke', 'sty', 'nanti', 'yang', 'maju', 'jawab', 'pak', 'manajer', 'timnas', 'un', 'wkwk'];lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk;lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk;lo nanya dendy sty yang maju jawab pak manajer timnas un wkwk
22;22;Bikin desak STY anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut;negatif;bikin desak sty anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut;['bikin', 'desak', 'sty', 'anjir', 'ini', 'dendy', 'bapuk', 'ngapain', 'masih', 'dipanggil', 'mending', 'ipang', 'coy', 'larinya', 'ngebut'];['bikin', 'desak', 'sty', 'anjir', 'ini', 'dendy', 'bapuk', 'ngapain', 'masih', 'dipanggil', 'mending', 'ipang', 'coy', 'larinya', 'ngebut'];bikin desak sty anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut;bikin desak sty anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut;bikin desak sty anjir dendy bapuk ngapain panggil mending ipang coy lari ngebut
23;23;<username> dendy punya foto sty lagi berak;negatif; dendy punya foto sty lagi berak;['dendy', 'punya', 'foto', 'sty', 'lagi', 'berak'];['dendy', 'punya', 'foto', 'sty', 'lagi', 'berak'];dendy punya foto sty lagi berak;dendy punya foto sty lagi berak;dendy punya foto sty berak
24;24;<username> <username> <username> sampe skrng tgl 4 januari 2024 sikon hujan sedang, masih belum paham mksd sty dendy ada mulu;negatif;   sampe skrng tgl   januari   sikon hujan sedang masih belum paham mksd sty dendy ada mulu;['sampe', 'skrng', 'tgl', 'januari', 'sikon', 'hujan', 'sedang', 'masih', 'belum', 'paham', 'mksd', 'sty', 'dendy', 'ada', 'mulu'];['sampe', 'skrng', 'tgl', 'januari', 'sikon', 'hujan', 'sedang', 'masih', 'belum', 'paham', 'mksd', 'sty', 'dendy', 'ada', 'mulu'];sampe skrng tgl januari sikon hujan sedang masih belum paham mksd sty dendy ada mulu;sampe skrng tgl januari sikon hujan sedang masih belum paham mksd sty dendy ada mulu;sampe skrng tgl januari sikon hujan sedang belum paham mksd sty dendy mulu
25;25;<username> Udah pasti dendi nyimpen poto bugil sty, makanya selalu d bawak dan starter si biawak sunge satu ni;negatif; udah pasti dendi nyimpen poto bugil sty makanya selalu bawak dan starter si biawak sunge satu ni;['udah', 'pasti', 'dendi', 'nyimpen', 'poto', 'bugil', 'sty', 'makanya', 'selalu', 'bawak', 'dan', 'starter', 'si', 'biawak', 'sunge', 'satu', 'ni'];['udah', 'pasti', 'dendi', 'nyimpen', 'poto', 'bugil', 'sty', 'makanya', 'selalu', 'bawak', 'dan', 'starter', 'si', 'biawak', 'sunge', 'satu', 'ni'];udah pasti dendi nyimpen poto bugil sty makanya selalu bawak dan starter si biawak sunge satu ni;udah pasti dendi nyimpen poto bugil sty makanya selalu bawak dan starter si biawak sunge satu ni;udah dendi nyimpen poto bugil sty makanya selalu bawak starter si biawak sunge satu ni
26;26;atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh. jadi gak begitu heran sama keputusan sty setelahnya.   apalagi si dendy karyawan tetap juga dipanggil terus. udah lah jangan berharap banyak ðŸ˜‚;negatif;atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh jadi gak begitu heran sama keputusan sty setelahnya apalagi si dendy karyawan tetap juga dipanggil terus udah lah jangan berharap banyak;['atlit', 'lempar', 'lembing', 'gak', 'pernah', 'main', 'di', 'klub', 'masih', 'dipanggil', 'timnas', 'aja', 'udah', 'aneh', 'jadi', 'gak', 'begitu', 'heran', 'sama', 'keputusan', 'sty', 'setelahnya', 'apalagi', 'si', 'dendy', 'karyawan', 'tetap', 'juga', 'dipanggil', 'terus', 'udah', 'lah', 'jangan', 'berharap', 'banyak'];['atlit', 'lempar', 'lembing', 'gak', 'pernah', 'main', 'di', 'klub', 'masih', 'dipanggil', 'timnas', 'aja', 'udah', 'aneh', 'jadi', 'gak', 'begitu', 'heran', 'sama', 'keputusan', 'sty', 'setelahnya', 'apalagi', 'si', 'dendy', 'karyawan', 'tetap', 'juga', 'dipanggil', 'terus', 'udah', 'lah', 'jangan', 'berharap', 'banyak'];atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh jadi gak begitu heran sama keputusan sty setelahnya apalagi si dendy karyawan tetap juga dipanggil terus udah lah jangan berharap banyak;atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh jadi gak begitu heran sama keputusan sty setelahnya apalagi si dendy karyawan tetap juga dipanggil terus udah lah jangan berharap banyak;atlit lempar lembing gak pernah main klub panggil timnas aja udah aneh jadi gak heran sama putus sty telah si dendy karyawan tetap panggil terus udah jangan harap banyak
27;27;<username> keknya Dendy ini nyimpen foto telanjang STY deh..;negatif; keknya dendy ini nyimpen foto telanjang sty deh;['keknya', 'dendy', 'ini', 'nyimpen', 'foto', 'telanjang', 'sty', 'deh'];['keknya', 'dendy', 'ini', 'nyimpen', 'foto', 'telanjang', 'sty', 'deh'];keknya dendy ini nyimpen foto telanjang sty deh;keknya dendy ini nyimpen foto telanjang sty deh;kek dendy nyimpen foto telanjang sty deh
28;28;<username> Fix STY punya hutang budi sama dendy;negatif; fix sty punya hutang budi sama dendy;['fix', 'sty', 'punya', 'hutang', 'budi', 'sama', 'dendy'];['fix', 'sty', 'punya', 'hutang', 'budi', 'sama', 'dendy'];fix sty punya hutang budi sama dendy;fix sty punya hutang budi sama dendy;fix sty punya hutang budi sama dendy
