;komentar;label;step01
20;"<username> <username> <username> Balik ke statement saya kemarin, Dendy salah satu anak emas"" STY yang selalu dia percayakan namun tidak juga kunjung perform. Agak laen memang STY ini.""";negatif;   balik ke statement saya kemarin dendy salah satu anak emas sty yang selalu dia percayakan namun tidak juga kunjung perform agak laen memang sty ini
21;<username> Lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk;negatif; lo nanya dendy ke sty nanti yang maju jawab pak manajer timnas un wkwk
22;Bikin desak STY anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut;negatif;bikin desak sty anjir ini dendy bapuk ngapain masih dipanggil mending ipang coy larinya ngebut
23;<username> dendy punya foto sty lagi berak;negatif; dendy punya foto sty lagi berak
24;<username> <username> <username> sampe skrng tgl 4 januari 2024 sikon hujan sedang, masih belum paham mksd sty dendy ada mulu;negatif;   sampe skrng tgl   januari   sikon hujan sedang masih belum paham mksd sty dendy ada mulu
25;<username> Udah pasti dendi nyimpen poto bugil sty, makanya selalu d bawak dan starter si biawak sunge satu ni;negatif; udah pasti dendi nyimpen poto bugil sty makanya selalu bawak dan sta er si biawak sunge satu ni
26;atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh. jadi gak begitu heran sama keputusan sty setelahnya.   apalagi si dendy karyawan tetap juga dipanggil terus. udah lah jangan berharap banyak ðŸ˜‚;negatif;atlit lempar lembing gak pernah main di klub masih dipanggil timnas aja udah aneh jadi gak begitu heran sama keputusan sty setelahnya apalagi si dendy karyawan tetap juga dipanggil terus udah lah jangan berharap banyak
27;<username> keknya Dendy ini nyimpen foto telanjang STY deh..;negatif; keknya dendy ini nyimpen foto telanjang sty deh
28;<username> Fix STY punya hutang budi sama dendy;negatif; fix sty punya hutang budi sama dendy
29;<username> Siap2 naikan tagar sty out!ðŸ¤­;negatif; siap naikan tagar sty out
30;<username> No 12 emang bagus yaðŸ¤£ sty mana berani nyoretðŸ«¢ðŸ˜;negatif; no   emang bagus ya sty mana berani nyoret
31;<username> <username> sty juara ngeles;negatif;  sty juara ngeles
32;Beberapa kali liat STY pake 442 pas lawan tim bagus, selalu hasilnya jelek. Semoga di Piala Asia pake 352 aja  Ernando Ridho  Amat  Elkan Walsh  Ivar  Marsel  Klok  Shayne Rafael  Dimas;negatif;beberapa kali liat sty pake   pas lawan tim bagus selalu hasilnya jelek semoga di piala asia pake   aja ernando ridho amat elkan walsh ivar marsel klok shayne rafael dimas
33;<username> Dendi bekingannya jendral sty takut kyknya coret dia ðŸ˜;negatif; dendi bekingannya jendral sty takut kyknya coret dia
34;<username> Hanya punya 4 gelandang tengah murni untuk minimal 3 pertandingan. Benar2 keputusan beresiko tinggi. Mungkin STY  mencoba Asnawi, Jordy dan Shandy sebagai alternatif gelandang tengah jika ada yg cedera atau akumulasi. Faktanya 2 yg dicoret gelandang tengah semua;negatif; hanya punya   gelandang tengah murni untuk minimal   pe andingan benar keputusan beresiko tinggi mungkin sty mencoba asnawi jordy dan shandy sebagai alternatif gelandang tengah jika ada yg cedera atau akumulasi faktanya   yg dicoret gelandang tengah semua
35;<username> Sudah di bilang Dendy punya foto sty lagi berak un;negatif; sudah di bilang dendy punya foto sty lagi berak un
36;seseorang tolong bikin acara desak sty, aku udah nyiapin 10 pertanyaan 9 pertanyaan ttg dendy;negatif;seseorang tolong bikin acara desak sty aku udah nyiapin   pe anyaan   pe anyaan ttg dendy
37;<username> <username> banyak yang denial bang kalau sty itu jauh lebih buruk dibanding luis milla;negatif;  banyak yang denial bang kalau sty itu jauh lebih buruk dibanding luis milla
38;<username> <username> dendi kntl Setiawan ini klo masih di mainin kagak tau lgi dah sty;negatif;  dendi kntl setiawan ini klo masih di mainin kagak tau lgi dah sty
39;<username> Adam alis arkhan fikri baru maen sebentar njirr Gw kira mulai pencoretan setelah laga lawan libya besok. Ga ngerti sama sty, sulit ditebak.;negatif; adam alis arkhan fikri baru maen sebentar njirr gw kira mulai pencoretan setelah laga lawan libya besok ga nge i sama sty sulit ditebak
40;<username> sty sayang bgt sm arhan yg engga perform di klub (skrg tanpa klub), kenapa engga arhan aja ya yg dicoret? bek kiri timnas ada 3 itu shayne, edo, arhan.;negatif; sty sayang bgt sm arhan yg engga perform di klub skrg tanpa klub kenapa engga arhan aja ya yg dicoret bek kiri timnas ada   itu shayne edo arhan
41;<username> takut bgt sty bkl blunder dh. krn bingung sbtulnya sih, masa depan pemain itu bukan tugas coach, tp balik lagi dr usaha pemain itu. let's see lah ya, bkl dibawa kemana sbnrnya iniðŸ˜”;negatif; takut bgt sty bkl blunder dh krn bingung sbtulnya sih masa depan pemain itu bukan tugas coach tp balik lagi dr usaha pemain itu let see lah ya bkl dibawa kemana sbnrnya ini
42;<username> <username> STY Out Piala Asia gagal Total. PHS jadi Platih Desember 2024 juara AFF. Putaran 3 WC;negatif;  sty out piala asia gagal total phs jadi platih desember   juara aff putaran   wc
43;<username> gw yakin seyakin yakinnya STY habis piala asia di pecat, pelatih tolol;negatif; gw yakin seyakin yakinnya sty habis piala asia di pecat pelatih tolol
44;<username> Klo STY masih pake single pivot, dan 2 gelandang harus mencover area yg luas, w pesimis sihðŸ˜žðŸ˜ž;negatif; klo sty masih pake single pivot dan   gelandang harus mencover area yg luas pesimis sih
45;Dengan alasan2 ini, menurut saya STY tak sepenuh hati membangun timnasional. Ia hanya gila atensi dan ambisi pribadi.  Keadaan ini mengingatkan lagi kepada kontroversi di awal2 kedatangannya. Ia pernah bersilang pendapat dengan Dirtek Pssi.;negatif;dengan alasan ini menurut saya sty tak sepenuh hati membangun timnasional ia hanya gila atensi dan ambisi pribadi keadaan ini mengingatkan lagi kepada kontroversi di awal kedatangannya ia pernah bersilang pendapat dengan di ek pssi
46;Di tengah harapan menunggu proses yang menjadi sebab kita sabar, STY tergoda jalan pintas: naturalisasi.  Bukan soal boleh nga bolehnya, haram dan tidak. Iya, boleh saja. Tetapi sebenarnya ia telah mengingkari fatsum yg telah ia janjikan.  Ndasmu proses!;negatif;di tengah harapan menunggu proses yang menjadi sebab kita sabar sty tergoda jalan pintas naturalisasi bukan soal boleh nga bolehnya haram dan tidak iya boleh saja tetapi sebenarnya ia telah mengingkari fatsum yg telah ia janjikan ndasmu proses
47;Kontek berubah ada benarnya. STY telah merubah wajah timnas. Ia memulai membangun timnas dengan wajah2 baru, tidak lagi yang itu-itu lagi.  Tapi, indikator berhasil tidak hanya itu. Pada bagian2 yang lain, STY jauh dari kata berhasil. Ia gagal di banyak aspek.;negatif;kontek berubah ada benarnya sty telah merubah wajah timnas ia memulai membangun timnas dengan wajah baru tidak lagi yang itu itu lagi tapi indikator berhasil tidak hanya itu pada bagian yang lain sty jauh dari kata berhasil ia gagal di banyak aspek
48;Kenyataannya, dalam 4 thn bertugas, STY masih saja bingung menentukan 11 reguler yang menjadi starting baku.  Ia belummemberi tropi apapun. Soal permainan, sesekali saja timnas enak ditonton.  Tapi kata warganet, timna telah berubah.;negatif;kenyataannya dalam   thn be ugas sty masih saja bingung menentukan   reguler yang menjadi sta ing baku ia belummemberi tropi apapun soal permainan sesekali saja timnas enak ditonton tapi kata warganet timna telah berubah
49;<username> <username> Lord dendy sejak jaman sty auto main bro;negatif;  lord dendy sejak jaman sty auto main bro
50;STY hanya punya Piala Asia untuk membuktikan kemampuannya meracik tim.  Ia telah terlalu banyak diberikan privilese. Oleh federasi juga warganet. Ia menjadi pelatih dengan durasi terpanjang dalam 25 thn terakhir. Juga upah paling besar, juga dimanjakan dgn suntikan pemain rantau.;negatif;sty hanya punya piala asia untuk membuktikan kemampuannya meracik tim ia telah terlalu banyak diberikan privilese oleh federasi juga warganet ia menjadi pelatih dengan durasi terpanjang dalam   thn terakhir juga upah paling besar juga dimanjakan dgn suntikan pemain rantau
51;<username> Apa yg diliat sty ya dari sosok dendy dan dimas;negatif; apa yg diliat sty ya dari sosok dendy dan dimas
52;Sebenarnya STY punya seribu alasan untuk mengindahkan Dendy.  Musim ini ia tak tampil baik di liga1. Pemanggilannya juga penuh drama, sampai2 manajer Timnas dibully karena faktor kedekatan.  Sparing vs Libya tempo hari juga bermain alakadar. Belum nemu alasannya dipertahankan.;negatif;sebenarnya sty punya seribu alasan untuk mengindahkan dendy musim ini ia tak tampil baik di liga pemanggilannya juga penuh drama sampai manajer timnas dibully karena faktor kedekatan sparing vs libya tempo hari juga bermain alakadar belum nemu alasannya dipe ahankan
53;<username> Opsi lini tengah tipis, yang menjadi pertanyaan edo febriansah ini salah satu anak emas sty jarang main tpi di panggil terus;negatif; opsi lini tengah tipis yang menjadi pe anyaan edo febriansah ini salah satu anak emas sty jarang main tpi di panggil terus
54;<username> emg harus diremehin ini timnas, sty kalo gagal total di piala asia sama kualifikasi pildun pressure buat angkat kaki pasti jadi sorotanðŸ‘€;negatif; emg harus diremehin ini timnas sty kalo gagal total di piala asia sama kualifikasi pildun pressure buat angkat kaki pasti jadi sorotan
55;<username> dendy punya foto bugil sty kayaknya;negatif; dendy punya foto bugil sty kayaknya
56;<username> <username> dendy ini sty ngeliat apa nya sih?;negatif;  dendy ini sty ngeliat apa nya sih
57;<username> Timnas jalan di tempat gk ada perkembangan. Sty gaya doang;negatif; timnas jalan di tempat gk ada perkembangan sty gaya doang
58;<username> <username> <username> ini sty udah jadi dewa gak boleh dikritik?;negatif;   ini sty udah jadi dewa gak boleh dikritik
59;<username> Titipan pemda jangan Sampai di coret,  nanti karir sty bisa terancam;negatif; titipan pemda jangan sampai di coret nanti karir sty bisa terancam
60;<username> Dendy pegang rahasia STY apa ya? ini kalo STY ngelatih korsel juga Dendy tetep di undang ðŸ¤“;negatif; dendy pegang rahasia sty apa ya ini kalo sty ngelatih korsel juga dendy tetep di undang
61;<username> Kecoretlah kemaren dapat bola sisi kiri larinya kaga ada, ada peluang disia siain Kaya gitu mau jadi Ter arhan arhannya STY  Mana main;negatif; kecoretlah kemaren dapat bola sisi kiri larinya kaga ada ada peluang disia siain kaya gitu mau jadi ter arhan arhannya sty mana main
62;<username> Dendy ini pemain titipan cok, masa iya Pelatih sekelas STY buta matanya lihat kualitas pemain kek Dendy ðŸ¤£ðŸ¤£ðŸ¤£;negatif; dendy ini pemain titipan cok masa iya pelatih sekelas sty buta matanya lihat kualitas pemain kek dendy
63;<username> <username> Keknya sty gamau panggil pemain dr klub yang pemiliknya problematicðŸ¤­;negatif;  keknya sty gamau panggil pemain dr klub yang pemiliknya problematic
64;<username> <username> <username> Ha yang bener lebih baik dari yg gk dipanggil? Goal di liga itu cuma 1 bro udah lah ini itu dipaggil bukan karena perfrom tapi suka suka sty aja kalau perform malik rizaldy lilipaly dah dipanggil;negatif;   ha yang bener lebih baik dari yg gk dipanggil goal di liga itu cuma   bro udah lah ini itu dipaggil bukan karena perfrom tapi suka suka sty aja kalau perform malik rizaldy lilipaly dah dipanggil
65;<username> <username> Dendy punya video skandal sty ya? Wkwk;negatif;  dendy punya video skandal sty ya wkwk
66;<username> <username> Kesayangan STY itu...  Begitu pentingnya kehadiran mereka berdua di timnas melebihi prestasinya #eh ðŸ¤­;negatif;  kesayangan sty itu begitu pentingnya kehadiran mereka berdua di timnas melebihi prestasinya
67;<username> selama masih ada duo el titipan lord dendi - dimas drajat, jan berharap banyak deh:) btw goodluck STYðŸ˜Š;negatif; selama masih ada duo el titipan lord dendi dimas drajat jan berharap banyak deh btw goodluck sty
68;<username> dendi kesayangan STY;negatif; dendi kesayangan sty
69;<username> Udahalh juru kunci pasti ni timnas, emang aneh STY, pemain jadi camat di klub dipertahanin mulu, pemain cuma lari lari doang juga dibawa;negatif; udahalh juru kunci pasti ni timnas emang aneh sty pemain jadi camat di klub dipe ahanin mulu pemain cuma lari lari doang juga dibawa
70;<username> Curiga dendy nyimpen foto Sty;negatif; curiga dendy nyimpen foto sty
71;<username> Kita punya 7 forward dan masih ada dendy disana. Rahasia sty apa yg dia pegang sampe sebegininya?;negatif; kita punya   forward dan masih ada dendy disana rahasia sty apa yg dia pegang sampe sebegininya
72;<username> <username> Dendi nyimpen foto bugil nya sty kali;negatif;  dendi nyimpen foto bugil nya sty kali
73;<username> Dendy sama arhan punya aib nya sty kayanya nih;negatif; dendy sama arhan punya aib nya sty kayanya nih
74;<username> dendi anak emas ya ? Mas STY... hahaa;negatif; dendi anak emas ya mas sty hahaa
75;<username> <username> Realistis saja pak liat cara main dendi dibawah sty sm adam alis dibawah sty enakan mainnya adam alis. Ini mah pribadi saya saja pak. Tiap orang bebas berpendapat;negatif;  realistis saja pak liat cara main dendi dibawah sty sm adam alis dibawah sty enakan mainnya adam alis ini mah pribadi saya saja pak tiap orang bebas berpendapat
76;<username> Dendy ngmg apa ya ke sty sampe dibawa trs;negatif; dendy ngmg apa ya ke sty sampe dibawa trs
77;<username> <username> <username> sempet kepikiran gini juga. apa mungkin sty gak ngambil dari sono gara2 takut di intervensi bos nya. jadi, daripada rame mending kagak aja dah. ðŸ˜;negatif;   sempet kepikiran gini juga apa mungkin sty gak ngambil dari sono gara takut di intervensi bos nya jadi daripada rame mending kagak aja dah
78;<username> <username> Gak malah sty masih gambling, jelas-jelas saat Lilipaly maen lawan Turkmenistan bagus trus sty juga butuh pemain yg senior tapi malah cuma ada dua aja yg senior yaitu Jordi sama klok ini mnurut gua Sty kayak kurang pede malah gambling trus ke Adam alis yg udh di calling dua kali;negatif;  gak malah sty masih gambling jelas jelas saat lilipaly maen lawan turkmenistan bagus trus sty juga butuh pemain yg senior tapi malah cuma ada dua aja yg senior yaitu jordi sama klok ini mnurut gua sty kayak kurang pede malah gambling trus ke adam alis yg udh di calling dua kali
79;<username> <username> <username> Si fajar harusnya yg patut di coba mah ,malah Adam alis yg di calling lagi udh gitu di coret lagi sty nih kadang kadang masih perjudian Mulu;negatif;   si fajar harusnya yg patut di coba mah malah adam alis yg di calling lagi udh gitu di coret lagi sty nih kadang kadang masih perjudian mulu
80;<username> dendi ama arhan kok masih ada aje.... dibelakangnye pasti orang kuat nih, sty aj ampe kicep;negatif; dendi ama arhan kok masih ada aje dibelakangnye pasti orang kuat nih sty aj ampe kicep
81;WKWWKK LEBIH MILIH DENDY DIBANDIN ADAM ALIS ðŸ¤£ pasrah aja, kadang2 emang sty;negatif;wkwwkk lebih milih dendy dibandin adam alis pasrah aja kadang emang sty
82;STY lebih pilih Egy, Hokky, dan Dendy dibanding Adam Alis ðŸ¤·â€â™‚ï¸;negatif;sty lebih pilih egy hokky dan dendy dibanding adam alis
83;<username> Wkwkwk Adam Alis dicoret ? Gila vener sty;negatif; wkwkwk adam alis dicoret gila vener sty
84;<username> Hallo om sty, ada masalah apa sama Borneo ðŸ« ;negatif; hallo om sty ada masalah apa sama borneo
85;<username> Udahalh juru kunci pasti ni timnas, emang aneh STY, pemain jadi camat di klub dipertahanin mulu, pemain cuma lari lari doang juga dibawa;negatif; udahalh juru kunci pasti ni timnas emang aneh sty pemain jadi camat di klub dipe ahanin mulu pemain cuma lari lari doang juga dibawa
86;<username> dendy ni punya video bokep sty atau gimana, gapaham w dipanggil terus;negatif; dendy ni punya video bokep sty atau gimana gapaham dipanggil terus
87;FIX DENDY PUNYA FOTO TELANJANG STY https://t.co/oLHfDwu83F;negatif;fix dendy punya foto telanjang sty coolhfdwuf
88;<username> Dendy sama arhan punya aib nya sty kayanya nih;negatif; dendy sama arhan punya aib nya sty kayanya nih
89;<username> Yang saya heran dari STY ini sudah ada saran dari expert tapi kok ttp ga didengar ya? https://t.co/KbPr6Xbp5Y;negatif; yang saya heran dari sty ini sudah ada saran dari tapi kok ttp ga didengar ya cokbprxbpy
90;<username> <username> Kalo gua jadi sty gua coret Edo panggil Lilipaly atau si fajar,di posisi bek kiri Ampe 3 nama gitu ada Shayne,arhan sama edo;negatif;  kalo gua jadi sty gua coret edo panggil lilipaly atau si fajar di posisi bek kiri ampe   nama gitu ada shayne arhan sama edo
91;<username> Asli dari pada manggil arkhan Fikri sama Adam alis yg udh numpuk bngt di pemain tengah , mending panggil Lilipaly soalnya mental Lilipaly lumayan oke gak paham sama Sty;negatif; asli dari pada manggil arkhan fikri sama adam alis yg udh numpuk bngt di pemain tengah mending panggil lilipaly soalnya mental lilipaly lumayan oke gak paham sama sty
92;<username> kenapa gak coba STY? kan bentar lagi doi cabut dari timnas;negatif; kenapa gak coba sty kan bentar lagi doi cabut dari timnas
93;<username> <username> Taik sty pelatih mentok udah nggak punya plan A B C  Udahlah #shintaeyongout;negatif;  taik sty pelatih mentok udah nggak punya plan udahlah
94;STY, sebaiknya siap2 pulkam ke Korea...dia cuma comot2 pemain Eropa, semua orang juga bisa..;negatif;sty sebaiknya siap pulkam ke korea dia cuma comot pemain eropa semua orang juga bisa
95;<username> STY : Tenang..jagoan dateng belakangan...pulang nya duluan juga ðŸ˜…;negatif; sty tenang jagoan dateng belakangan pulang nya duluan juga
96;<username> jujur performanya mulai mundur STY ini 2 tahun lalu bisa ngalahin Kuwait dan Curacao yang levelnya diatas/setara Libya  makanya kemarin sempet optimis ngalahin Irak karena pernah menang lawan Kuwait di kandang lawan, eh malah jadi selangkah mundur ðŸ˜…;negatif; jujur performanya mulai mundur sty ini   tahun lalu bisa ngalahin kuwait dan curacao yang levelnya diatassetara libya makanya kemarin sempet optimis ngalahin irak karena pernah menang lawan kuwait di kandang lawan eh malah jadi selangkah mundur
97;Hasilnya...bisa diduga..kalah telak..tapi bukan soal kalah menang..tapi kita perlu bangun atlit sep bola...bukan atlit dadakan, comot dari Eropa....jika terus begitu,..sampai kapanpun PSSI TDK akan maju dan modern, lebih baik STY, pulang saja..;negatif;hasilnya bisa diduga kalah telak tapi bukan soal kalah menang tapi kita perlu bangun atlit sep bola bukan atlit dadakan comot dari eropa jika terus begitu sampai kapanpun pssi tdk akan maju dan modern lebih baik sty pulang saja
98;<username> Siap2 STY kebantai yg ke dua kali;negatif; siap sty kebantai yg ke dua kali
99;<username> <username> <username> <username> <username> Biar penyefong sty ga pada tolol;negatif;     biar penyefong sty ga pada tolol
100;<username> <username> <username> Dia macam ada persaingan pribadi dgn indra safriðŸ¤£, indra safri setelah dpt seagames,sty ngerubah pakemnya, lo perhatiin aja timnas thn 2022 vs 2023 beda bgtðŸ¤£ðŸ˜†;negatif;   dia macam ada persaingan pribadi dgn indra safri indra safri setelah dpt seagames sty ngerubah pakemnya lo perhatiin aja timnas thn   vs   beda bgt
101;<username> Masih heran kenapa STY masih belum tertarik masukin di ke Timnas,padahal multi posisi juga. Jujur aja dibanding slot bek kiri diisi Edo dan Arhan mending Fajrin kemana-mana.;negatif; masih heran kenapa sty masih belum te arik masukin di ke timnas padahal multi posisi juga jujur aja dibanding slot bek kiri diisi edo dan arhan mending fajrin kemana mana
102;Sty paling bisa kalo kasih alasan..dan publik lgsg percaya  Inikah namanya cinta..;negatif;sty paling bisa kalo kasih alasan dan publik lgsg percaya inikah namanya cinta
103;<username> Percaya Sty?...lihat aja nanti...drakor;negatif; percaya sty lihat aja nanti drakor
104;<username> Udah pake pelatih sekelas STY masih bobrok  <username> kapan evaluasi? Kompetisi usia dini gimana? Kompetisi piala indonesia gimana? Kompetisi liga putri gimana?;negatif; udah pake pelatih sekelas sty masih bobrok  kapan evaluasi kompetisi usia dini gimana kompetisi piala indonesia gimana kompetisi liga putri gimana
105;Selama STY pasang Dendy &amp  Edo. Gw anggep dia lagi coba2 atau sembunyiin taktik. Dah;negatif;selama sty pasang dendy amp edo gw anggep dia lagi coba atau sembunyiin taktik dah
106;<username> dendi anak pejabat saha sih? dipanggil mulu tolol sty blog goblog disetir pejabat.;negatif; dendi anak pejabat saha sih dipanggil mulu tolol sty blog goblog disetir pejabat
107;<username> <username> STY OUT JIKA TAHUN DEPAN KALAH DARI TIMOR TIMUR;negatif;  sty out jika tahun depan kalah dari timor timur
108;<username> Kalo gak bisa menang lawan Vietnam mending STY out!;negatif; kalo gak bisa menang lawan vietnam mending sty out
109;<username> <username> IN STY WE TRUST HILIH MBILGIDIS;negatif;  in sty we trust hilih mbilgidis
110;<username> pelatih  sty  harus  bisa  menemukan  solusi  lini  depan  timnas  indonesia    masih  bermasalah ,masih tumpul, kurang kreatif  membuka  ruang  untuk  mencetak  gol,  insitingnya   kurang      dalam mencetak gol untuk   bersaing  dipiala  asia  sebentar lagi.;negatif; pelatih sty harus bisa menemukan solusi lini depan timnas indonesia masih bermasalah masih tumpul kurang kreatif membuka ruang untuk mencetak gol insitingnya kurang dalam mencetak gol untuk bersaing dipiala asia sebentar lagi
111;<username> Kalau enggak menang lawan Vietnam siap2 aja sty  di serang sana-sini Soalnya statement doi lebih penting afc;negatif; kalau enggak menang lawan vietnam siap aja sty di serang sana sini soalnya statement doi lebih penting afc
112;<username> <username> El titipan ini aura magisnya mampu membuat sty terhipnotis;negatif;  el titipan ini aura magisnya mampu membuat sty terhipnotis
113;<username> Indonesia bgt ngetroll y kritik sty. Sampe lupa sty udah berapakali kalah dan milih pemain titipan;negatif; indonesia bgt ngetroll kritik sty sampe lupa sty udah berapakali kalah dan milih pemain titipan
114;<username> <username> Bukan belain sty tp hari ini memang secara sistemnya berantakan dari liga sampai dari segi pribadi pemainnya. Liat malaysia memang JDT nunggu federasi atau kim pan gon ketemu mereka untuk naikin kualitas fisik pemain clubnya? Nunggu federasi untuk punya fasilitas grade A afc?;negatif;  bukan belain sty tp hari ini memang secara sistemnya berantakan dari liga sampai dari segi pribadi pemainnya liat malaysia memang jdt nunggu federasi atau kim pan gon ketemu mereka untuk naikin kualitas fisik pemain clubnya nunggu federasi untuk punya fasilitas grade afc
115;<username> <username> Di aff kemarin mati kutu ama irianto, tp ya gak tau sty lebih suka pake klok buat dmf;negatif;  di aff kemarin mati kutu ama irianto tp ya gak tau sty lebih suka pake klok buat dmf
116;<username> emg pelatih nya kek orang gblok, pemain oke gbs diolah. sty badutt;negatif; emg pelatih nya kek orang gblok pemain oke gbs diolah sty badutt
117;<username> Terlepas dari selera STY, sepertinya memang kepingan di lini depan lebih cocok untuk Lilipaly ketimbang Dendy/Egy;negatif; terlepas dari selera sty sepe inya memang kepingan di lini depan lebih cocok untuk lilipaly ketimbang dendyegy
118;Pak STY, cobalah tekankan ke pemain Nasional itu, tidak zamannya lagi melewati pemain lawan dengan melego, kerja sama yang paling utama.;negatif;pak sty cobalah tekankan ke pemain nasional itu tidak zamannya lagi melewati pemain lawan dengan melego kerja sama yang paling utama
119;<username> Rooney nganggur? suruh gantiin sty aja udh, Mayan jadi pelatih indo atau minimal jadi assisten pelatih sty dah;negatif; rooney nganggur suruh gantiin sty aja udh mayan jadi pelatih indo atau minimal jadi assisten pelatih sty dah
